,0,1,2
266,historicapolitica/bornitiusaerarium_6.xml,Francofurti , 1612.
267,historicapolitica/bornitiusaerarium_7.xml,Francofurti , 1612.
268,historicapolitica/bornitiusaerarium_8.xml,Francofurti , 1612.
269,historicapolitica/bornitiusaerarium_9.xml,Francofurti , 1612.
270,historicapolitica/bornitiusaerarium_front.xml,Francofurti , 1612.
271,historicapolitica/bornitiusmoralia_1.xml,Francofurti et Lipsiae , 1685.
272,historicapolitica/bornitiusmoralia_2.xml,Francofurti et Lipsiae , 1685.
273,historicapolitica/bornitiusmoralia_front.xml,Francofurti et Lipsiae , 1685.
274,historicapolitica/bornitiusnummi_1.xml,Hanau, 1608. 
275,historicapolitica/bornitiusnummi_2.xml,Hanau, 1608. 
276,historicapolitica/bornitiusnummi_back.xml,Hanau, 1608. 
277,historicapolitica/bornitiusnummi_front.xml,Hanau, 1608. 
278,historicapolitica/bornitiussufficientia_1.xml,Frankfurt (Main), 1625. 
279,historicapolitica/bornitiussufficientia_2.xml,Frankfurt (Main), 1625. 
280,historicapolitica/bornitiussufficientia_3.xml,Frankfurt (Main), 1625. 
281,historicapolitica/bornitiussufficientia_4.xml,Frankfurt (Main), 1625. 
282,historicapolitica/bornitiussufficientia_5.xml,Frankfurt (Main), 1625. 
283,historicapolitica/bornitiussufficientia_6.xml,Frankfurt (Main), 1625. 
284,historicapolitica/bornitiussufficientia_7.xml,Frankfurt (Main), 1625. 
285,historicapolitica/bornitiussufficientia_front.xml,Frankfurt (Main), 1625. 
286,historicapolitica/Bornitz_discursus.xml,Erphordiae , 1602.
287,historicapolitica/boseprudentia_1.xml,Ienae , 1699.
288,historicapolitica/boseprudentia_2.xml,Ienae , 1699.
289,historicapolitica/boseprudentia_3.xml,Ienae , 1699.
290,historicapolitica/boseprudentia_4.xml,Ienae , 1699.
291,historicapolitica/boseprudentia_front.xml,Ienae , 1699.
292,historicapolitica/Bourgogne_historia.xml,no place, no year [ca. 1650]
293,historicapolitica/Bry_acta_index.xml,Frankfurt am Main, 1597.
294,historicapolitica/Busbecq_legationis_index.xml,Francofurti, 1595.
295,historicapolitica/Camerarius_meditationes_1.xml,Frankfurt [Main], 1602.
296,historicapolitica/Camerarius_meditationes_2.xml,Frankfurt [Main], 1606.
297,historicapolitica/Camerarius_meditationes_3.xml,Frankfurt [Main], 1609.
298,historicapolitica/casagalateus_1.xml,Francofurdi , 1588.
299,historicapolitica/casagalateus_2.xml,Francofurdi , 1588.
300,historicapolitica/casagalateus_back.xml,Francofurdi , 1588.
301,historicapolitica/casagalateus_front.xml,Francofurdi , 1588.
302,historicapolitica/caseliusopera1_1.xml,Francofurti , 1633.
303,historicapolitica/caseliusopera1_2.xml,Francofurti , 1633.
304,historicapolitica/caseliusopera1_3.xml,Francofurti , 1633.
305,historicapolitica/caseliusopera1_front.xml,Francofurti , 1633.
306,historicapolitica/caseliusopera2_1.xml,Francofurti , 1633.
307,historicapolitica/caseliusopera2_front.xml,Francofurti , 1633.
308,historicapolitica/caseliusopera3.xml,Francofurti , 1633.
309,historicapolitica/cellariushistoria_1.xml,Altenburgi , 1753.
310,historicapolitica/cellariushistoria_2.xml,Altenburgi , 1753.
311,historicapolitica/cellariushistoria_3.xml,Altenburgi , 1753.
312,historicapolitica/cellariushistoria_4.xml,Altenburgi , 1753.
